IdxFirst	IdxCombined	IdxFirstNamed	IdxCombinedNamed	NumZMWs	MeanScore	Picked
3	3	bc1008_BAK8A_OA	bc1008_BAK8A_OA	3	71	0
4	4	bc1009_BAK8A_OA	bc1009_BAK8A_OA	1	28	0
5	5	bc1010_BAK8A_OA	bc1010_BAK8A_OA	1	29	0
6	6	bc1011_BAK8A_OA	bc1011_BAK8A_OA	3	24	0
7	7	bc1012_BAK8A_OA	bc1012_BAK8A_OA	5	79	0
10	10	bc1017_BAK8B_OA	bc1017_BAK8B_OA	49385	89	1
14	14	bc1021_BAK8B_OA	bc1021_BAK8B_OA	1	17	0
15	15	bc1022_BAK8B_OA	bc1022_BAK8B_OA	1	100	0
