ZMW	IdxFirst	IdxCombined	IdxSecondCandidate	IdxFirstAlt	IdxSecondAlt	ScoreFirst	ScoreCombined	ScoreSecondCandidate	ScoreFirstAlt	ScoreSecondAlt	ScoreCombinedFirst	ScoreCombinedSecond	ScoresFirst	ScoresCombined	ScoresSecondCandidate	ScoresFirstAlt	ScoresSecondAlt	ReadLengths	IdxsCombined	ClipsFirst	ClipsCombined	ClipsSecondCandidate	ClipsFirstAlt	ClipsSecondAlt	ScoreLead	SignalIncrease	NumPasses	NumAdapters	NumBadAdapters	NumBadAdapterRatio	NumScoredAdapters	NumBarcodedRegions	NumBarcodedRegionsPassed	PassedFilters	IdxFirstNamed	IdxCombinedNamed	IdxSecondCandidateNamed	IdxFirstAltNamed	IdxSecondAltNamed	IdxLowest	IdxHighest	IdxLowestNamed	IdxHighestNamed
m64089e_220615_173331/54	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	5270	8,8	17,5253	17,5253	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/60	8	8	0	0	0	100	100	0	0	0	100	100	100,-1	100,-1	-1,-1	-1,-1	-1,-1	10677	8,-1	17,10677	17,10677	0,0	0,0	0,0	100	-1	0	0.5	0	0	0.5	1	1	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/67	8	8	0	0	0	97	97	0	0	0	97	97	94,100	94,100	-1,-1	-1,-1	-1,-1	13566	8,8	16,13548	16,13548	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/78	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	5668	8,8	17,5642	17,5642	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/79	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	6210	8,8	17,6193	17,6193	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/81	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	16443	8,8	17,16426	17,16426	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/85	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	9617	8,8	17,9600	17,9600	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/91	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	16166	8,8	17,16149	17,16149	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/92	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	4526	8,8	17,4509	17,4509	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/95	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	13852	8,8	17,13835	17,13835	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/102	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	16688	8,8	17,16671	17,16671	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/109	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	4518	8,8	17,4501	17,4501	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
